Testcase_ID,Natural_Language_Query,Target_Law,Target_Section,Section_Title
1,"Can you explain the offence of short title, commencement and application in BNS 2023?",BNS,1,"Short title, commencement and application"
2,"What is the section under BNS for short title, commencement and application?",BNS,1,"Short title, commencement and application"
3,Tell me about BNS Section 2 regarding definitions.,BNS,2,Definitions.
4,Can you explain the offence of definitions in BNS 2023?,BNS,2,Definitions.
5,What is the section under BNS for general explanations?,BNS,3,General explanations
6,Someone did a general explanations. What law applies?,BNS,3,General explanations
7,What does BNS Section 4 say?,BNS,4,Punishments
8,What does BNS Section 4 say?,BNS,4,Punishments
9,What does BNS Section 5 say?,BNS,5,Commutation of sentence
10,Can you explain the offence of commutation of sentence in BNS 2023?,BNS,5,Commutation of sentence
11,What does BNS Section 6 say?,BNS,6,Fractions of terms of punishment.
12,What does BNS Section 6 say?,BNS,6,Fractions of terms of punishment.
13,My friend was accused of sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple. What are the consequences?,BNS,7,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple
14,My friend was accused of sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple. What are the consequences?,BNS,7,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple
15,"Tell me about BNS Section 8 regarding amount of fine, liability in default of payment of fine, etc.",BNS,8,"Amount of fine, liability in default of payment of fine, etc."
16,"Tell me about BNS Section 8 regarding amount of fine, liability in default of payment of fine, etc.",BNS,8,"Amount of fine, liability in default of payment of fine, etc."
17,I want to know the legal definition of limit of punishment of offence made up of several offences.,BNS,9,Limit of punishment of offence made up of several offences.
18,Someone did a limit of punishment of offence made up of several offences. What law applies?,BNS,9,Limit of punishment of offence made up of several offences.
19,"Tell me about BNS Section 10 regarding punishment of person guilty of one of several offences, judgment stating that it is doubtful of which.",BNS,10,"Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which."
20,"My friend was accused of punishment of person guilty of one of several offences, judgment stating that it is doubtful of which. What are the consequences?",BNS,10,"Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which."
21,I want to know the legal definition of solitary confinement.,BNS,11,Solitary confinement.
22,I want to know the legal definition of solitary confinement.,BNS,11,Solitary confinement.
23,Tell me about BNS Section 12 regarding limit of solitary confinement.,BNS,12,Limit of solitary confinement.
24,Someone did a limit of solitary confinement. What law applies?,BNS,12,Limit of solitary confinement.
25,I want to know the legal definition of enhanced punishment for certain offences after previous conviction.,BNS,13,Enhanced punishment for certain offences after previous conviction.
26,What is the punishment for enhanced punishment for certain offences after previous conviction under the new BNS?,BNS,13,Enhanced punishment for certain offences after previous conviction.
27,"Someone did a act done by a person bound, or by mistake of fact believing himself bound, by law. What law applies?",BNS,14,"Act done by a person bound, or by mistake of fact believing himself bound, by law"
28,"What is the section under BNS for act done by a person bound, or by mistake of fact believing himself bound, by law?",BNS,14,"Act done by a person bound, or by mistake of fact believing himself bound, by law"
29,Someone did a act of judge when acting judicially. What law applies?,BNS,15,Act of Judge when acting judicially.
30,Someone did a act of judge when acting judicially. What law applies?,BNS,15,Act of Judge when acting judicially.
31,Can you explain the offence of act done pursuant to judgment or order of court in BNS 2023?,BNS,16,Act done pursuant to judgment or order of Court.
32,I want to know the legal definition of act done pursuant to judgment or order of court.,BNS,16,Act done pursuant to judgment or order of Court.
33,"I want to know the legal definition of act done by a person justified, or by mistake of fact believing himself justified, by law.",BNS,17,"Act done by a person justified, or by mistake of fact believing himself justified, by law"
34,"What is the punishment for act done by a person justified, or by mistake of fact believing himself justified, by law under the new BNS?",BNS,17,"Act done by a person justified, or by mistake of fact believing himself justified, by law"
35,Someone did a accident in doing a lawful act. What law applies?,BNS,18,Accident in doing a lawful act.
36,What is the punishment for accident in doing a lawful act under the new BNS?,BNS,18,Accident in doing a lawful act.
37,"What is the section under BNS for act likely to cause harm, but done without criminal intent, and to prevent other harm?",BNS,19,"Act likely to cause harm, but done without criminal intent, and to prevent other harm."
38,"My friend was accused of act likely to cause harm, but done without criminal intent, and to prevent other harm. What are the consequences?",BNS,19,"Act likely to cause harm, but done without criminal intent, and to prevent other harm."
