Testcase_ID,Pure_Natural_Language_Query,Target_Law,Target_Section,Section_Title
1,"What happens if someone commits short title, commencement and application?",BNS,1,"Short title, commencement and application"
2,"What is the punishment for short title, commencement and application?",BNS,1,"Short title, commencement and application"
3,Is definitions considered a crime?,BNS,2,Definitions.
4,Can you explain the offence of definitions?,BNS,2,Definitions.
5,Can you explain the offence of general explanations?,BNS,3,General explanations
6,What happens if someone commits general explanations?,BNS,3,General explanations
7,What is the punishment for punishments?,BNS,4,Punishments
8,Can you explain the offence of punishments?,BNS,4,Punishments
9,Can you explain the offence of commutation of sentence?,BNS,5,Commutation of sentence
10,What is the punishment for commutation of sentence?,BNS,5,Commutation of sentence
11,My friend was accused of fractions of terms of punishment. What are the consequences?,BNS,6,Fractions of terms of punishment.
12,What is the punishment for fractions of terms of punishment?,BNS,6,Fractions of terms of punishment.
13,What is the punishment for sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple?,BNS,7,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple
14,Can you explain the offence of sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple?,BNS,7,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple
15,"Can you explain the offence of amount of fine, liability in default of payment of fine, etc?",BNS,8,"Amount of fine, liability in default of payment of fine, etc."
16,"What is the punishment for amount of fine, liability in default of payment of fine, etc?",BNS,8,"Amount of fine, liability in default of payment of fine, etc."
17,Can you explain the offence of limit of punishment of offence made up of several offences?,BNS,9,Limit of punishment of offence made up of several offences.
18,What is the punishment for limit of punishment of offence made up of several offences?,BNS,9,Limit of punishment of offence made up of several offences.
19,"What is the legal definition of punishment of person guilty of one of several offences, judgment stating that it is doubtful of which?",BNS,10,"Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which."
20,"What is the legal definition of punishment of person guilty of one of several offences, judgment stating that it is doubtful of which?",BNS,10,"Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which."
21,Can you explain the offence of solitary confinement?,BNS,11,Solitary confinement.
22,Is solitary confinement considered a crime?,BNS,11,Solitary confinement.
23,What is the legal definition of limit of solitary confinement?,BNS,12,Limit of solitary confinement.
24,Can you explain the offence of limit of solitary confinement?,BNS,12,Limit of solitary confinement.
25,What happens if someone commits enhanced punishment for certain offences after previous conviction?,BNS,13,Enhanced punishment for certain offences after previous conviction.
26,Is enhanced punishment for certain offences after previous conviction considered a crime?,BNS,13,Enhanced punishment for certain offences after previous conviction.
27,"What happens if someone commits act done by a person bound, or by mistake of fact believing himself bound, by law?",BNS,14,"Act done by a person bound, or by mistake of fact believing himself bound, by law"
28,"Is act done by a person bound, or by mistake of fact believing himself bound, by law considered a crime?",BNS,14,"Act done by a person bound, or by mistake of fact believing himself bound, by law"
29,Is act of judge when acting judicially considered a crime?,BNS,15,Act of Judge when acting judicially.
30,What is the punishment for act of judge when acting judicially?,BNS,15,Act of Judge when acting judicially.
31,What is the punishment for act done pursuant to judgment or order of court?,BNS,16,Act done pursuant to judgment or order of Court.
32,Is act done pursuant to judgment or order of court considered a crime?,BNS,16,Act done pursuant to judgment or order of Court.
33,"What is the legal definition of act done by a person justified, or by mistake of fact believing himself justified, by law?",BNS,17,"Act done by a person justified, or by mistake of fact believing himself justified, by law"
34,"Is act done by a person justified, or by mistake of fact believing himself justified, by law considered a crime?",BNS,17,"Act done by a person justified, or by mistake of fact believing himself justified, by law"
35,What is the legal definition of accident in doing a lawful act?,BNS,18,Accident in doing a lawful act.
36,My friend was accused of accident in doing a lawful act. What are the consequences?,BNS,18,Accident in doing a lawful act.
37,"What happens if someone commits act likely to cause harm, but done without criminal intent, and to prevent other harm?",BNS,19,"Act likely to cause harm, but done without criminal intent, and to prevent other harm."
38,"Is act likely to cause harm, but done without criminal intent, and to prevent other harm considered a crime?",BNS,19,"Act likely to cause harm, but done without criminal intent, and to prevent other harm."
39,What is the punishment for act of a child under seven years of age?,BNS,20,Act of a child under seven years of age.
40,Is act of a child under seven years of age considered a crime?,BNS,20,Act of a child under seven years of age.
41,What is the punishment for act of a child above seven and under twelve years of age of immature understanding?,BNS,21,Act of a child above seven and under twelve years of age of immature understanding
42,What happens if someone commits act of a child above seven and under twelve years of age of immature understanding?,BNS,21,Act of a child above seven and under twelve years of age of immature understanding
43,My friend was accused of act of a person of unsound mind. What are the consequences?,BNS,22,Act of a person of unsound mind.
44,What is the legal definition of act of a person of unsound mind?,BNS,22,Act of a person of unsound mind.
45,What is the legal definition of act of a person incapable of judgment by reason of intoxication caused against his will?,BNS,23,Act of a person incapable of judgment by reason of intoxication caused against his will
46,Is act of a person incapable of judgment by reason of intoxication caused against his will considered a crime?,BNS,23,Act of a person incapable of judgment by reason of intoxication caused against his will
47,What is the punishment for offence requiring a particular intent or knowledge committed by one who is intoxicated?,BNS,24,Offence requiring a particular intent or knowledge committed by one who is intoxicated
48,My friend was accused of offence requiring a particular intent or knowledge committed by one who is intoxicated. What are the consequences?,BNS,24,Offence requiring a particular intent or knowledge committed by one who is intoxicated
49,"My friend was accused of act not intended and not known to be likely to cause death or grievous hurt, done by consent. What are the consequences?",BNS,25,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent."
50,"What happens if someone commits act not intended and not known to be likely to cause death or grievous hurt, done by consent?",BNS,25,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent."
51,"What happens if someone commits act not intended to cause death, done by consent in good faith for person's benefit?",BNS,26,"Act not intended to cause death, done by consent in good faith for person's benefit."
52,"What is the legal definition of act not intended to cause death, done by consent in good faith for person's benefit?",BNS,26,"Act not intended to cause death, done by consent in good faith for person's benefit."
53,"My friend was accused of act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian. What are the consequences?",BNS,27,"Act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian."
54,"What happens if someone commits act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian?",BNS,27,"Act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian."
55,What is the legal definition of consent known to be given under fear or misconception?,BNS,28,Consent known to be given under fear or misconception.
56,What is the punishment for consent known to be given under fear or misconception?,BNS,28,Consent known to be given under fear or misconception.
57,Can you explain the offence of exclusion of acts which are offences independently of harm caused?,BNS,29,Exclusion of acts which are offences independently of harm caused.
58,Is exclusion of acts which are offences independently of harm caused considered a crime?,BNS,29,Exclusion of acts which are offences independently of harm caused.
59,My friend was accused of act done in good faith for benefit of a person without consent. What are the consequences?,BNS,30,Act done in good faith for benefit of a person without consent.
60,Can you explain the offence of act done in good faith for benefit of a person without consent?,BNS,30,Act done in good faith for benefit of a person without consent.
61,What happens if someone commits communication made in good faith?,BNS,31,Communication made in good faith.
62,What is the punishment for communication made in good faith?,BNS,31,Communication made in good faith.
63,What is the legal definition of act to which a person is compelled by threats?,BNS,32,Act to which a person is compelled by threats.
64,What is the punishment for act to which a person is compelled by threats?,BNS,32,Act to which a person is compelled by threats.
65,What happens if someone commits act causing slight harm?,BNS,33,Act causing slight harm.
66,What is the punishment for act causing slight harm?,BNS,33,Act causing slight harm.
67,Is things done in private defence considered a crime?,BNS,34,Things done in private defence.
68,What is the legal definition of things done in private defence?,BNS,34,Things done in private defence.
69,What is the legal definition of right of private defence of body and of property?,BNS,35,Right of private defence of body and of property.
70,My friend was accused of right of private defence of body and of property. What are the consequences?,BNS,35,Right of private defence of body and of property.
71,"What is the punishment for right of private defence against act of a person of unsound mind, etc?",BNS,36,"Right of private defence against act of a person of unsound mind, etc."
72,"Can you explain the offence of right of private defence against act of a person of unsound mind, etc?",BNS,36,"Right of private defence against act of a person of unsound mind, etc."
73,What happens if someone commits acts against which there is no right of private defence?,BNS,37,Acts against which there is no right of private defence.
74,What is the legal definition of acts against which there is no right of private defence?,BNS,37,Acts against which there is no right of private defence.
75,What is the legal definition of when right of private defence of body extends to causing death?,BNS,38,When right of private defence of body extends to causing death.
76,Can you explain the offence of when right of private defence of body extends to causing death?,BNS,38,When right of private defence of body extends to causing death.
77,What is the punishment for when such right extends to causing any harm other than death?,BNS,39,When such right extends to causing any harm other than death.
78,Is when such right extends to causing any harm other than death considered a crime?,BNS,39,When such right extends to causing any harm other than death.
